Category,Subcategory,Specific Capability,Description,
Language,Solve Problems,Follow instructions,Ability to execute tasks based on a set of provided guidelines or instructions. Can handle multi-step instructions with detailed guidance spanning numerous steps and isntructions,
Language,Solve Problems,Reason,"Complete a variety of tasks by logically processing multiple steps using given data, context, or constraints. This approach is highly versatile—applicable to debugging, ideation, and any scenario that benefits from iterative thinking.",
Language,Solve Problems,Make recommendations,Provide recommendations tailored to user needs or preferences by leveraging reasoning capabilities. Considers user requirements and constraints while drawing on world knowledge to suggest relevant options.,
Language,Solve Problems,Assess compliance,Determine whether text meets specified guidelines by comparing the input against compliance criteria. This capability enables the model to generate an assessment on whether guidelines are satisfied.,
Language,Solve Problems,Act as an agent,"Independently carry out tasks in a multi-step process, often using external tools and deciding how and when to apply them. Can conduct flexible and open-ended tasks than a predefined workflow.",
Language,Communicate,Hold conversation,"Engage in a dialogue by understanding user intent, answering questions, and maintaining context and conversation flow.",
Language,Communicate,Personalise messages,Adapt messages based on user attributes or past interactions.,
Language,Communicate,Mimic style,Imitate the tone or manner of a user or context to align the communication style.,
Language,Communicate,Explain & educate,"Clarify information, concepts, and processes to assist users in understanding and learning.",
Language,Extract Info,Recognise entities,"Identify and categorise specific items such as names, places, or terms in text, and provide the extracted entities as an output.",
Language,Extract Info,Extract structured data,"Extract and organise information from unstructured sources into a structured format (e.g., JSON). Goes beyond basic keyword searches by understanding the meaning of the input, classifying it accordingly, and generating the data in a predefined schema or structure.",
Language,Extract Info,Classify,Group data or text into predefined categories based on its characteristics or context.,
Language,Analyse & Transform,Summarise,Deliver concise overviews of lengthy documents or unstructured text (including transcripts).,
Language,Analyse & Transform,Detect sentiment & emotion,"Recognise the mood, feeling, or emotion expressed in a text.",
Language,Analyse & Transform,Mimic text,"Produce text that reflects the style, tone, or format of a reference or source text.",
Language,Generate Information,Generate text,"Produce written content based on various inputs, including text, data, images, or video.",
Language,Generate Information,Re-write text,Modify existing text for new purposes while preserving its core meaning.,
Language,Generate Information,Generating synthetic data,"Create realistic synthetic data—structured or unstructured (e.g., conversations, customer profiles)—based on example data or guidelines.",
Language,Generate Information,Generate code,Write code to fulfill user-specified requirements or prompts.,
Language,Generate Information,Translate,Transform text from one language to another while preserving its intended meaning.,
Language,Generate Information,Generate ideas,"Produce new ideas, hypotheses, or scenarios, offer feedback, and participate in brainstorming discussions.",
Vision,Basic,Text extraction,Identify and retrieve text content from an image.,
Vision,Basic,Object recognition,Recognise and categorise objects depicted in an image.,
Vision,Basic,Image classification,Categorise an image according to specific criteria.,
Vision,Complex,Complex image understanding,"Comprehend an image at both high-level and granular detail, interpreting its content comprehensively.",
Vision,Complex,Visual reasoning,"Analyse and interpret visual information to solve problems or tasks, such as counting objects or assessing spatial relationships.",
Vision,Complex,Video understanding,"Interpret video content by examining multiple frames, effectively stitching information together for a broader context.",
Vision,Complex,Feedback on image or video,Offer feedback on an image or a video and recommend enhancements or modifications.,
"Voice, Music & Audio",Voice Input & Output,Transcribe,"Convert audio into text transcripts, including timestamps and speaker annotations.","Convert audio into text transcripts, including timestamps and speaker annotations."
"Voice, Music & Audio",Voice Input & Output,Voice to voice,"Facilitate voice-based interactions in a free-flowing manner without explicit transcription. The model naturally interprets speech, including emotional cues and ambient sounds, and can respond with natural-sounding voice output.","Facilitate voice-based interactions in a free-flowing manner without explicit transcription. The model naturally interprets speech, including emotional cues and ambient sounds, and can respond with natural-sounding voice output."
"Voice, Music & Audio",Voice Input & Output,Voice input,Transcribe spoken input into text for processing by the model. Note that certain non-verbal cues or nuances may be lost in the transcription.,Transcribe spoken input into text for processing by the model. Note that certain non-verbal cues or nuances may be lost in the transcription.
"Voice, Music & Audio",Voice Input & Output,Voice output,"Provide vocal responses generated from a text input, producing a realistic and natural-sounding voice.","Provide vocal responses generated from a text input, producing a realistic and natural-sounding voice."
"Voice, Music & Audio",Voice Input & Output,Voice cloning,"Replicate and synthesise a specific voice to produce audio output from textual input, enabling the generation of speech in that voice.","Replicate and synthesise a specific voice to produce audio output from textual input, enabling the generation of speech in that voice."
"Voice, Music & Audio",Voice Input & Output,Music & audio generation,"Create music or audio effects based on text prompts. Can produce vocal tracks, instrumental pieces, or sound effects to supplement media content. Can also mimic particular styles or genres.","Create music or audio effects based on text prompts. Can produce vocal tracks, instrumental pieces, or sound effects to supplement media content. Can also mimic particular styles or genres."
Image & Video,Image,Text to image,"Create images from a text-based prompt, with some capability to include text on images. These prompts can range from brief statements to longer paragraphs.",
Image & Video,Image,Image editing,Modify an image by replacing specific elements with generated content or by extending the image boundaries.,
Image & Video,Image,Image to Image,"Convert or stylise an existing image according to a text prompt, altering its appearance while retaining the fundamental subject matter.",
Image & Video,Image,Multiple Images to Image,"Merge or blend multiple images into a single composite, integrating elements from each source image.",
Image & Video,Video,Text to video,Produce short videos from a text prompt.,
Image & Video,Video,Image to video,"Create a video from a still image, guided by a text prompt for greater control over style and content.",
Image & Video,Video,Video to video,Transform one video into another by retaining the original’s actions but altering its style or adding overlays based on a text or image prompt.,
Other,Enabling Capability,Integrate with tools,Collaborate with other software or tools (including search) to expand functional capabilities.,
Other,Enabling Capability,Match schema,Produce outputs that adhere to a predefined schema or structure to facilitate integration with other systems.,
Other,Enabling Capability,Search & extract,"Access documentation or files to retrieve relevant information, then incorporate this data into the model’s context.",
Other,Enabling Capability,Execute code,Run code snippets for tasks such as analyzing small datasets or executing lightweight software components.,
Other,Enabling Capability,Analyse data,"Use the code execution feature to write and run code against a dataset, allowing the model to analyse data through code.",
